Style,Year,count
Modern Art,1883,11
Modern Art,1884,12
Modern Art,1885,7
Modern Art,1886,8
Modern Art,1887,10
Modern Art,1888,14
Modern Art,1889,11
Modern Art,1890,30
Modern Art,1891,3
Modern Art,1892,10
Modern Art,1893,6
Modern Art,1894,5
Modern Art,1895,3
Modern Art,1896,5
Modern Art,1897,6
Modern Art,1898,6
Modern Art,1899,3
Modern Art,1900,11
Modern Art,1901,9
Modern Art,1902,9
Modern Art,1903,11
Modern Art,1904,9
Modern Art,1905,12
Modern Art,1906,19
Modern Art,1907,22
Modern Art,1908,26
Modern Art,1909,16
Modern Art,1910,34
Modern Art,1911,39
Modern Art,1912,41
Modern Art,1913,43
Modern Art,1914,30
Modern Art,1915,40
Modern Art,1916,31
Modern Art,1917,15
Modern Art,1918,12
Modern Art,1919,15
Modern Art,1920,17
Modern Art,1921,18
Modern Art,1922,16
Modern Art,1923,22
Modern Art,1924,15
Modern Art,1925,7
Modern Art,1926,20
Modern Art,1927,28
Modern Art,1928,18
Modern Art,1929,12
Modern Art,1930,13
Modern Art,1931,8
Modern Art,1932,12
Modern Art,1933,13
Modern Art,1934,16
Modern Art,1935,16
Modern Art,1936,20
Modern Art,1937,33
Modern Art,1938,23
Modern Art,1939,21
Modern Art,1940,22
Modern Art,1941,11
Modern Art,1942,19
Modern Art,1943,9
Modern Art,1944,12
Modern Art,1945,10
Modern Art,1946,9
Modern Art,1947,12
Modern Art,1948,18
Modern Art,1949,29
Modern Art,1950,24
Modern Art,1951,23
Modern Art,1952,32
Modern Art,1953,27
Modern Art,1954,45
Modern Art,1955,32
Modern Art,1956,47
Modern Art,1957,43
Modern Art,1958,41
Modern Art,1959,50
Modern Art,1960,46
Modern Art,1961,31
Modern Art,1962,58
Modern Art,1963,45
Modern Art,1964,59
Modern Art,1965,33
Modern Art,1966,24
Modern Art,1967,31
Modern Art,1968,34
Modern Art,1969,33
Modern Art,1970,30
Modern Art,1971,31
Modern Art,1972,30
Modern Art,1973,12
Modern Art,1974,20
Modern Art,1975,9
Modern Art,1976,14
Modern Art,1977,11
Modern Art,1978,13
Modern Art,1979,10
Modern Art,1980,13
Modern Art,1981,13
Modern Art,1982,17
Modern Art,1983,8
Modern Art,1984,14
Modern Art,1985,11
Modern Art,1986,12
Modern Art,1987,14
Modern Art,1988,16
Modern Art,1989,9
Modern Art,1990,14
Modern Art,1991,10
Modern Art,1992,5
Modern Art,1993,6
Modern Art,1994,8
Modern Art,1995,10
Modern Art,1996,5
Modern Art,1997,3
Modern Art,1998,6
Modern Art,1999,7
Modern Art,2000,10
Modern Art,2001,1
Modern Art,2002,1
Modern Art,2003,3
Modern Art,2005,3
Modern Art,2006,4
Modern Art,2007,2
Modern Art,2011,1
Modern Art,2012,2
"Contemporary Art,Modern Art",1950,1
"Contemporary Art,Modern Art",1955,1
"Contemporary Art,Modern Art",1956,1
"Contemporary Art,Modern Art",1958,1
"Contemporary Art,Modern Art",1959,1
"Contemporary Art,Modern Art",1969,2
Contemporary Art,1953,3
Contemporary Art,1955,5
Contemporary Art,1956,1
Contemporary Art,1957,1
Contemporary Art,1958,2
Contemporary Art,1959,10
Contemporary Art,1960,7
Contemporary Art,1961,7
Contemporary Art,1962,10
Contemporary Art,1963,14
Contemporary Art,1964,22
Contemporary Art,1965,18
Contemporary Art,1966,16
Contemporary Art,1967,27
Contemporary Art,1968,23
Contemporary Art,1969,22
Contemporary Art,1970,1
